course_id,section_id,instructor,enrollment_status,enrollment_count,enrollment_capacity,waitlist_status,waitlist_count,waitlist_capacity,created_at
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 21:01:36.463897
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 22:01:33.010718
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-19 23:01:12.673363
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 00:01:19.669252
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 01:01:36.775204
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 02:01:22.242568
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 03:00:37.570858
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 04:01:42.829624
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 05:01:44.898153
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 06:01:34.464205
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 07:01:36.800969
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 08:01:40.202772
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 09:01:36.154105
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 10:01:33.516566
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 11:02:23.042624
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 12:01:37.512349
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 13:02:17.482257
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 14:01:34.249607
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 15:01:40.596293
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 16:00:30.582847
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 17:02:27.396426
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 18:01:21.044329
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 19:01:27.694848
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 20:01:39.810844
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 21:01:39.236218
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 22:01:43.290324
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-20 23:01:36.085447
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-21 00:01:20.490015
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-21 01:01:45.111279
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-21 02:01:51.895421
2732,187780200,"Sarrafzadeh, M.",Full,240,240,Full,30,30,2019-09-21 03:01:35.170189
